,title,author,price
0,White Fang,London J.,13.03 И
1,Ѕелый клык = White Fang,"ƒжек, Ћондон",3.00 И
2,The Call of the Wild and White Fang,London J.,8.07 И
3,White Fang [= Ѕелый  лык],London J.,3.31 И
4,Call of the Wild & White Fang,"Jack London, London J.",5.80 И
