,title,author,price
0,На Западном фронте без перемен: Книга для чтения на немецком языке,"Erich Maria Remarque, Ремарк Э.М.", 4.08 € 5.10 €
1,На Западном фронте без перемен: роман,"Ремарк, Эрих Мария", 7.43 € 9.29 €
2,На Западном фронте без перемен: роман,Ремарк Э.М., 3.71 € 4.64 €
3,На Западном фронте без перемен. На обратном пути,"Ремарк, Эрих Мария", 10.42 € 13.03 €
4,На Западном фронте без перемен : роман,Ремарк Э.М., 6.26 € 7.83 €
5,На Западном фронте без перемен,Ремарк Э.М., 5.56 € 6.95 €
6,На Западном фронте без перемен,Ремарк Э.М., 3.09 € 3.86 €
